TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,Willkommen,Cabaret,00:12:00,00:15:29,209
2,Starman,David bowie,00:20:25,00:24:27,242
3,Fly me to the moon,Frank Sinatra,00:28:28,00:30:49,141
4,Love Shack,The B-52's,00:32:35,00:37:25,290
5,Just the two of us,Bill Withers,00:39:42,00:43:26,224
6,Helden,David Bowie,00:45:23,00:48:49,206
7,The Lady Is a Tramp,Lady Gaga and Tony Bennett,00:50:00,00:53:11,191
8,Ain’t No Mountain High Enough,Marvin Gaye and Tammi Terrell,00:54:34,00:57:06,152
9,Close to You,Carpenters,01:00:10,01:04:00,230
10,Hotel California,Eagles,01:05:28,01:10:55,327
11,Somethin' Stupid,Frank Sinatra and Nancy Sinatra,01:11:40,01:14:25,165
12,Grave robbing boys,Kaminari Clara,01:17:42,01:21:43,241
13,99 Luftballons,Nena,01:24:30,01:28:12,222
14,Your Song,Elton John,01:29:34,01:33:41,247
15,Take On Me,A-ha,01:34:36,01:38:26,230
16,California Dreamin’,The Mamas & the Papas,01:39:03,01:41:44,161
17,Danke Schoen,Wayne Newton,01:43:17,01:45:57,160
