TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,E.T.,Katy Perry,00:09:18,00:12:46,208
2,Welcome to My Parents House,Ninja Sex Party,00:15:26,00:18:22,176
3,Say So,Doja Cat,00:21:02,00:24:58,236
4,Cool Patrol,Ninja Sex Party,00:27:15,00:30:31,196
5,When It All Falls Apart,The Veronicas,00:32:49,00:36:19,210
6,Love Love Love,Dreams Come True,00:37:13,00:40:34,201
7,Graverobbin' Boys,Kaminari Clara,00:42:50,00:46:46,236
8,Pink Pony Club,Chappell Roan,00:47:45,00:52:20,275
9,Build Me Up Buttercup,The Foundations,00:55:26,00:58:28,182
10,Big Yellow Taxi,Joni Mitchell,01:00:53,01:03:09,136
11,S'il suffisait d'aimer,Celine Dion,01:04:08,01:07:41,213
12,I Have Nothing,Whitney Houston,01:08:37,01:13:25,288
13,Suteki Da Ne,Final Fantasy X - RIKKI,01:15:07,01:20:39,332
14,HOT TO GO!,Chappell Roan,01:27:10,01:30:14,184
15,I Can't Make You Love Me,Bonnie Raitt,01:34:04,01:39:25,321
16,Secret Base (Kimi ga Kureta Mono),Zone,01:40:41,01:45:38,297
17,Holding Out for a Hero,Bonnie Tyler,01:48:52,01:52:47,235
18,Who's Lovin' You,"The Miracles, The Jackson 5 et al",01:54:54,01:58:54,240
19,Dango Daikazoku,Clannad - Chata,02:00:39,02:05:10,271
20,Heart Boner,Ninja Sex Party,02:11:30,02:15:37,247
21,Cool,Gwen Stefani,02:18:16,02:21:17,181
22,Deliver Us,The Prince of Egypt,02:23:14,02:27:38,264
23,Close to You,Carpenters,02:28:23,02:32:09,226
24,When You Believe,The Prince of Egypt,02:34:11,02:38:40,269
25,Think of Me,Phantom of the Opera,02:39:23,02:42:55,212
26,Defying Gravity,Wicked,02:47:23,02:51:38,255
27,"New York, New York","Liza Minelli, Frank et al",02:52:57,02:56:21,204
28,Lady Marmalade,Moulin Rouge,02:57:46,03:02:11,265
