TRACK,TITLE,ARTIST,STARTTIME,ENDTIME,DURATION
1,"Good Luck, Atheist!",Custom Wood Burning,00:09:42,00:13:15,213
2,Biblical,Custom Wood Burning,00:16:30,00:20:16,226
3,Red Wine WaferNova,Custom Wood Burning,00:25:32,00:28:42,190
4,MOD ES TY!,Custom Wood Burning,00:35:46,00:38:48,182
5,Fake Christian Club,Custom Wood Burning,00:42:37,00:46:57,260
6,My Kink Is Karma (Sister Clara Original ver.),Chappell Roan,00:53:55,00:57:36,221
7,I Love You Jesus,Trisha Paytas,01:08:29,01:11:11,162
8,This Little Light of Mine,Unknown Artist,01:15:35,01:18:19,164
9,Away in a Manger,Unknown Artist,01:23:51,01:25:46,115
10,"Pharaoh, Pharaoh",Unknown Artist,01:29:44,01:31:58,134
11,Hallelujah,Leonard Cohen,01:32:53,01:36:38,225
12,When You Believe,Mariah Carey and Whitney Houston,01:38:57,01:43:54,297
13,Like a Prayer,Madonna,01:44:51,01:50:17,326
14,Ave Maria,Franz Schubert,01:50:56,01:55:22,266
15,Edge me till I goon,Rizz Records,01:59:13,02:02:30,197
16,Casual (Sister Clara Original ver.),Chappell Roan,02:07:37,02:11:21,224
17,Down to the River to Pray,Alison Krauss,02:18:57,02:21:50,173
